name,href,price,Subcategory,SubSubCategory,request_avg_time
Wolfen Timed Flow Bib Tap 65 (Cold) 7    Seconds (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/wolfen-timed-flow-bib-tap-65-cold-7-seconds-9508243,35,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Lineare New Basin Mixer Tap        Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-lineare-new-basin-mixer-tap-chrome-5-9508360,79,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Bliss Basin Mixer Tap Matte Black   (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-bliss-basin-mixer-tap-matte-black-4-star-9508778,29,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Drift MK2 Extended Basin Mixer Tap  Brushed Gold (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-drift-mk2-extended-basin-mixer-tap-brushed-9509143,95,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Silk Basin Mixer Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-silk-basin-mixer-chrome-5-star-9510730,53,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Basin Mixer Tap Chrome (5     Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-basin-mixer-tap-chrome-5-star-225940,80,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Basin / Sink Mixer Tap Small  Curved Right Hand Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-basin-sink-mixer-tap-small-curved-225941,95,Basin Tapware,Basin Mixers,1.681137204170227
Scala Mini Twin Handle Mixer Tap Small   Square Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/scala-mini-twin-handle-mixer-tap-small-square-225947,69,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Quatro Basin Mixer Tap Chrome     (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-quatro-basin-mixer-tap-chrome-6-star-2080664,69,Basin Tapware,Basin Mixers,1.681137204170227
Milli Pure Extended Basin Mixer Tap      Curved Spout with Linear Textured        Handle Brushed Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-pure-extended-basin-mixer-tap-curved-2224917,28,Basin Tapware,Basin Mixers,1.681137204170227
